研报名称,机构名称,发布时间,行业,研报地址
公用事业行业周报：港口持续累库，动力煤价格承压,东莞证券,2023-05-29,公用事业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587328822
环保与公用事业周报：《国家水网建设规划纲要》印发，建设现代化高质量水利基础设施网络,德邦证券,2023-05-29,公用事业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587328558
环保、公用事业行业周报：动力煤价格加速下跌，关注基本面持续修复火电行业,华西证券,2023-05-29,公用事业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305281587324399
环保及公用事业行业周报：国家水网建设规划纲要出台利好智慧水务，重视公用事业防御属性,安信证券,2023-05-28,公用事业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305281587323936
公用事业行业周报（2023年第21周）：风光“狂飙”，水网建设推动水务产业发展,民生证券,2023-05-28,公用事业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305281587323648
