研报名称,机构名称,发布时间,行业,研报地址
消费者服务行业2023年五一旅游出行板块点评：五一出游人次超预期恢复，下半年旅游复苏有望提速,东莞证券,2023-05-05,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290524
社会服务行业周观点：五一国内旅游收入同比增长128.90%，可比口径恢复至19年同期100.66%,万联证券,2023-05-05,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586289852
社会服务行业点评报告：五一文旅复苏强劲，餐饮数据表现亮眼,东吴证券,2023-05-04,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268011
社会服务业行业专题研究：五一酒旅恢复超预期，继续看好旺季上修持续性,国金证券,2023-05-04,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267175
社会服务：五一假期点评-出行复苏提速，国内游恢复首次超疫情前,国信证券,2023-05-04,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586264620
2023年五一节假日消费专题报告：复苏动能释放，消费前景向好,东亚前海证券,2023-05-04,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586240406
消费者服务行业月报：3月消费回暖，行业复苏稳步进行,中原证券,2023-04-28,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586070729
新消费研究之咖啡系列报告八：“来势汹汹”的库迪vs稳步向前的瑞幸,平安证券,2023-04-26,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585880757
社会服务行业双周报：五一预订火爆，旺季复苏可期,东方证券,2023-04-26,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585853921
社会服务行业月报：行业表现优于社零，头部酒店集团恢复领先,东吴证券,2023-04-26,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585835775
社服行业简评报告：五一旅游消费复苏强劲，长线、出境游需求显著释放,首创证券,2023-04-25,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585789619
消费者服务行业周报：五一近七成订单为长线游,山西证券,2023-04-24,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585749833
社会服务行业周观点：新一轮出游高峰即将来临，预计五一假期旅游市场迎来大幅上涨,万联证券,2023-04-24,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585748214
社服周观点：“五一”假期出境游热度居于高位，出境游需求迎来集中释放期,民生证券,2023-04-24,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585738313
社会服务行业周报：重点推荐会展、 博彩等高景气板块，关注免税、酒店回调布局机会,中国银河,2023-04-24,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585733037
社会服务行业周报：离岛免税布局持续优化，五一出行预定已超疫前,中银证券,2023-04-24,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585732268
社会服务行业周报：五一数据有望超疫情前，关注下周一季报密集发布,开源证券,2023-04-24,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585730495
社会服务行业投资策略周报：五一预定旺盛，关注出行链机会、AI+消费场景,财通证券,2023-04-24,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729520
社会服务双周刊：旅游需求持续释放，看好五一出行链恢复,信达证券,2023-04-24,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585729010
社服零售行业周报：促消费政策有望加码，五一出游需求爆发,华西证券,2023-04-24,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585729004
社会服务行业·周观点：五一旅游超2019年同期，酒店预定量价齐升,中航证券,2023-04-23,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726266
社服行业周报：五一出游需求强劲释放，迎文旅消费全面复苏,上海证券,2023-04-23,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726193
消费服务行业周报：关注五一及旺季出行复苏提速机会,东莞证券,2023-04-23,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726151
社会服务行业投资策略周报：Brunello Cucinelli亚太地区Q1增速强劲，顶奢集团对中国市场前景乐观,财通证券,2023-04-23,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726088
免税行业周报（4月第3周）：4月前两周海南离岛免税销售额21.6亿元、即购即提销售金额占8.7%,浙商证券,2023-04-23,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585721428
社会服务行业双周报（第55期）：五一旅游旺季来临，发改委释放进一步促消费信号,国信证券,2023-04-23,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585720318
社会服务：长白山年报&一季报点评：23Q1业绩创单Q1亏幅最小，客流较19同期显著增长,天风证券,2023-04-23,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585719420
社服行业周报：酒店量价齐升，五一国内游预订全线超越2019年,国联证券,2023-04-23,旅游酒店,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304221585716643
